Authors,Title,Year,Source title,Volume,Issue,Page start,Page end,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publisher,ISSN,ISBN,Citation Count,Reference Count,Metadata Source,Metadata Status,Original Screening ID
"Eneyew, Dagimawi D.; Capretz, Miriam A.M.; Bitsuamlak, Girma T.",Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,Applied Energy,375,,124080,,10.1016/j.apenergy.2024.124080,https://doi.org/10.1016/j.apenergy.2024.124080,,,,journal-article,Elsevier BV,0306-2619,,30,84,Crossref,matched,OLD0001
"Pomianek, Mateusz; Piszczek, Marek; Stawarz, Paweł; Kucharczyk-Drab, Aleksandra",From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,Sensors,25,20,6460,,10.3390/s25206460,https://doi.org/10.3390/s25206460,,,,journal-article,MDPI AG,1424-8220,,1,49,Crossref,matched,OLD0003
"Barrasso, Dana; Oka, Sarang; Muliadi, Ariel; Litster, James D.; Wassgren, Carl; Ramachandran, Rohit",Population Balance Model Validation and Predictionof CQAs for Continuous Milling Processes: toward QbDin Pharmaceutical Drug Product Manufacturing,2013,Journal of Pharmaceutical Innovation,8,3,147,162,10.1007/s12247-013-9155-0,https://doi.org/10.1007/s12247-013-9155-0,,,,journal-article,Springer Science and Business Media LLC,1872-5120; 1939-8042,,42,31,Crossref,matched,OLD0005
"Tarque, Nicola; Goicolea, José María; Cuevas, Rocío G.; Martínez, José Luis",Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,Journal of Physics: Conference Series,2647,10,102009,,10.1088/1742-6596/2647/10/102009,https://doi.org/10.1088/1742-6596/2647/10/102009,,,,journal-article,IOP Publishing,1742-6588; 1742-6596,,3,15,Crossref,matched,OLD0006
"Fu, Si; Chang, Chang-Ching; Kaewnuratchadasorn, Chawit; Wang, Jiaji; Wu, Chiun-Lin; Mo, Yi-Lung; Hsu, Thomas T.C.",Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,Engineering Structures,323,,119234,,10.1016/j.engstruct.2024.119234,https://doi.org/10.1016/j.engstruct.2024.119234,,,,journal-article,Elsevier BV,0141-0296,,13,40,Crossref,matched,OLD0009
"Ebrahimian, Parinaz; Bitaraf, Maryam",Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,Structures,80,,109835,,10.1016/j.istruc.2025.109835,https://doi.org/10.1016/j.istruc.2025.109835,,,,journal-article,Elsevier BV,2352-0124,,4,86,Crossref,matched,OLD0010
"Wang, Ruihang; Xia, Deneng; Cao, Zhiwei; Wen, Yonggang; Tan, Rui; Zhou, Xin",Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,2023,ACM Transactions on Modeling and Computer Simulation,33,4,1,24,10.1145/3604283,https://doi.org/10.1145/3604283,,,,journal-article,Association for Computing Machinery (ACM),1049-3301; 1558-1195,,3,43,Crossref,matched,OLD0011
"SUDAN SAPKOTA, MADHU; APEH, EDWARD; HADFIELD, MARK; ADEY, ROBERT; BAYNHAM, JOHN",DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,2021,WIT Transactions on Engineering Sciences,1,,3,14,10.2495/cmem210011,https://doi.org/10.2495/cmem210011,,,,proceedings-article,WIT Press,1743-3533; 1746-4471,,2,0,Crossref,matched,OLD0012
"Nyoni, Bukhosi R.; Moyo, Pilate; Nare, Kaboyamodimo; Ronné, Philip D.",Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,2024,Lecture Notes in Civil Engineering,,,540,547,10.1007/978-3-031-61425-5_52,https://doi.org/10.1007/978-3-031-61425-5_52,,,,book-chapter,Springer Nature Switzerland,2366-2557; 2366-2565,9783031614248; 9783031614255,0,5,Crossref,matched,OLD0017
"Oyarhossein, Mohammad Amin; Sugiyama, Gabriel; Rodrigues, Fernanda; Rodrigues, Hugo",Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,2025,Buildings,15,21,3890,,10.3390/buildings15213890,https://doi.org/10.3390/buildings15213890,,,,journal-article,MDPI AG,2075-5309,,0,26,Crossref,matched,OLD0018
