screening_id,record_key,entry_type,title,year,authors,first_author,source_title,volume,issue,pages,doi,scopus_url,document_type,publication_stage,scopus_source,language,citation_note,open_access_note,pdf_search_query,suggested_pdf_filename,pdf_status,pdf_file_path,duplicate_group,duplicate_decision,level_0_decision,level_0_exclusion_criterion,level_0_notes,level_0_language_flag,level_1_title_decision,level_1_exclusion_criterion,level_1_notes,level_2_abstract_decision,level_2_exclusion_criterion,level_2_notes,level_3_fulltext_decision,level_3_exclusion_criterion,level_3_notes,final_decision,included_reason,abstract,author_keywords,index_keywords,abstract_source_key,abstract_source_status,manual_level3_decision,manual_level3_note,classification_source,source_screening_id,object_class_decision,object_class_label,object_class_note,addition_source,addition_note,final_set_source,final_set_note
NS0118,2-s2.0-105039831213,Article,A State-Synchronized Digital Twin-Driven Framework for Adaptive Optimization of Fourth-Party Logistics Networks in Off-Site Construction,2026,Karimi B.; Omran M.M.; Sahebi H.,Karimi B.,Computers and Industrial Engineering,218,,,10.1016/j.cie.2026.112116,https://www.scopus.com/pages/publications/105039831213?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1016/j.cie.2026.112116,2026 - A State-Synchronized Digital Twin-Driven Framework for Adaptive Optimization of Fourth-Party Logistics Networks in Off-Site Construction.pdf,,,,,Include,,,,Include,,Title contains DT/model and validation/update signals; kept as potentially transferable.,Include,,"Abstract contains DT/model, production/manufacturing, and explicit validation/calibration/update/synchronization evidence.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"Off-site construction (OSC) can improve productivity and schedule reliability, yet its benefits depend on coordinated planning across procurement, production, logistics, and on-site installation in multi-project portfolios exposed to frequent disruptions. This paper proposes a state-synchronized digital twin-driven framework for adaptive optimization of a fourth-party logistics (4PL) network in OSC. The framework integrates a state-synchronized digital twin with a two-phase prescriptive-adaptive decision model embedded in a rolling horizon mechanism. In the prescriptive phase, an integrated mixed-integer linear program coordinates sourcing, buffering at pre-processing centers, production scheduling at structural manufacturing workshops, assignment of third-party logistics providers, transportation planning, and installation team allocation to minimize total expected cost under capacity and due-date penalty considerations. In the adaptive phase, event-triggered re-optimization reallocates mobile resources, specifically installation teams and 3PL capacity, to mitigate disruption impacts by minimizing the maximum portfolio tardiness while avoiding impractical inter-site transshipment of project-specific components. In the case study implementation, operational signals are collected continuously, state assimilation is performed at a weekly managerial cadence, and off-cycle adaptive re-optimization is activated only when calibrated disruption significance thresholds are exceeded. The framework is empirically validated through an industrial case study in Iran's steel-structure sector, where it significantly improves operational performance by reducing maximum project tardiness from 5.2 to 3.1 weeks and improving resource utilization. Computational results under baseline and compound disruption scenarios further demonstrate improved resilience and coordination, while sensitivity and stress tests quantify the effects of delay penalties, logistics capacity, travel-time uncertainty, disruption severity and duration, buffering adequacy, and trigger-threshold settings. © 2026 Elsevier Ltd",,,2-s2.0-105039831213,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0226,2-s2.0-105023587880,Conference paper,A Framework for Credible Self-evolution of Equipment Digital Twins,2026,Cheng H.; Zhang L.; Wang K.; Lu H.; Sun B.; Li Z.,Cheng H.,Communications in Computer and Information Science,2624 CCIS,,65-73,10.1007/978-981-95-1103-7_8,https://www.scopus.com/pages/publications/105023587880?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,,10.1007/978-981-95-1103-7_8,2026 - A Framework for Credible Self-evolution of Equipment Digital Twins.pdf,,,,,Include,,,Check non-ASCII title text,Include,,Title contains DT/model and validation/update signals; kept as potentially transferable.,Uncertain,,"Abstract contains DT and production/manufacturing context, but validation/update evidence is not explicit enough.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"With the increasing complexity of equipment management, equipment digital twin technology, as an innovative management tool, is becoming an essential means to improve the efficiency of equipment lifecycle management. This paper proposes a credible self-evolution framework for digital twins, aiming to address the complexity and uncertainty faced by equipment in dynamic environments. The framework incorporates a self-evolution mechanism and a credibility assessment method to ensure the system’s stability and reliability in highly variable environments. Finally, experimental results demonstrate the effectiveness of the proposed approach in smart manufacturing and equipment management, proving its superiority. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.",,,2-s2.0-105023587880,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0308,2-s2.0-105038947418,Conference paper,Design and evaluation of an artificial intelligence-based digital twin for industrial manufacturing optimization,2026,Rozyyev A.; Garayev G.; Babanazarov N.,Rozyyev A.,Proceedings of SPIE - The International Society for Optical Engineering,14135,,,10.1117/12.3109282,https://www.scopus.com/pages/publications/105038947418?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,,10.1117/12.3109282,2026 - Design and evaluation of an artificial intelligence-based digital twin for industrial manufacturing optimization.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Uncertain,,"Abstract contains DT and production/manufacturing context, but validation/update evidence is not explicit enough.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"In this work, analyzed the role of artificial intelligence–based digital twins in improving the efficiency and stability of industrial manufacturing processes under dynamic operating conditions. Investigated the integration of a virtual manufacturing process model with artificial intelligence methods to enhance predictive accuracy and adaptive decision-making. Identified key technological parameters influencing production efficiency, energy consumption, process stability, and output quality within a generalized manufacturing environment. Studied the structure and functional interaction of the physical manufacturing system, digital twin model, artificial intelligence module, and optimization algorithm within a unified framework. Determined the effectiveness of supervised machine learning models in capturing nonlinear relationships between process inputs and performance indicators using simulated manufacturing data. Established that the proposed AI-based digital twin framework enables systematic optimization of manufacturing parameters without direct intervention in physical production systems. Formulated a validation approach based on comparative analysis of baseline and optimized operating scenarios to assess performance improvements. Proposed an AI-driven digital twin architecture that demonstrates measurable improvements in production efficiency, reduced energy consumption, enhanced process stability, and improved output quality, confirming its applicability for intelligent manufacturing and industrial process optimization. © 2026 SPIE.",,,2-s2.0-105038947418,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0313,2-s2.0-105035116391,Article,Experiment-based calibration of a digital twin for composite panel testing using standard signals,2026,Bogenfeld R.; Wille T.; Witzel O.; Eckstein B.; Göpel C.,Bogenfeld R.,Measurement: Journal of the International Measurement Confederation,276,,,10.1016/j.measurement.2026.121329,https://www.scopus.com/pages/publications/105035116391?origin=resultslist,Article,Final,Scopus,English,Cited by 0,All Open Access; Hybrid Gold Open Access,10.1016/j.measurement.2026.121329,2026 - Experiment-based calibration of a digital twin for composite panel testing using standard signals.pdf,,,,,Include,,,,Include,,Title contains DT/model and validation/update signals; kept as potentially transferable.,Include,,"Abstract contains DT/model, production/manufacturing, and explicit validation/calibration/update/synchronization evidence.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"Accurate assessment of composite structures depends on how experimental measurements are used to calibrate and validate numerical models. While nominal finite element models generally assume idealized conditions, actual manufactured components and test setups introduce notable uncertainties and require a tailored numerical representation. This paper presents a measurement-centric calibration framework that transforms a nominal finite element model into a specimen-specific Digital Twin using only standard test signals. The scalable methodology leverages nonlinear least squares optimization which is first demonstrated and verified on an analytical beam example, allowing for detailed investigation of convergence behavior as well as the improvements by parameter transformation and by Jacobian recalculation. Emphasis is placed on the linearization of model parameters prior to optimization and the role of measurement availability. This process significantly enhances calibration stability and accuracy. The method is then applied to a physical compression test of a stiffened CFRP panel at a subcomponent scale. Numerical studies are conducted to evaluate the sensitivity of the calibration process to parameter selection and validation metrics. Finally, a calibrated Digital Twin is created using experimental strain data and validated through the DIC-measured deflection field, demonstrating the model's ability to more accurately replicate the mechanical response of an individual composite panel. © 2026 The Authors",,,2-s2.0-105035116391,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0365,2-s2.0-105027735200,Article,Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin,2026,Wood N.; Schwalbach E.; Donegan S.; Gillman A.; Hoelzle D.J.,Wood N.,Additive Manufacturing,117,,,10.1016/j.addma.2025.105054,https://www.scopus.com/pages/publications/105027735200?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1016/j.addma.2025.105054,2026 - Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin.pdf,,,,,Include,,,,Include,,"Title contains DT/model, validation/update, and production/manufacturing signals.",Include,,"Abstract contains DT/model, production/manufacturing, and explicit validation/calibration/update/synchronization evidence.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"This paper reports on the application of the Ensemble Kalman Filter (EnKF) as an Instantiated Digital Twin to estimate the temperature field inside a part being manufactured by laser powder bed fusion (L-PBF) for the purposes of in-process quality control and validation. The EnKF assimilates a physics-based model with experimental data for a feedback correction that compensates for model uncertainty. The paper describes the EnKF architecture and model development and demonstrates the effectiveness of EnKF under three subsets of PBF process physics: low temperature lasing which only induces heat conduction, nominal temperature lasing that introduces meltpool convection and radiation, and the full L-PBF processes thus introducing all modes of heat transfer for L-PBF. In comparison to the physics-based model without EnKF feedback, the EnKF demonstrates a reduction in temperature estimation error at the top surface of at least 94% for all tests. At higher temperature processing, and thus increased EnKF model uncertainty, the EnKF exhibits spurious non-physical temperature estimates at isolated spatial locations, which must be filtered out and systematic methods to eliminate this issue are reserved for future work. © 2026 Elsevier B.V.",,,2-s2.0-105027735200,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0436,2-s2.0-105040361628,Conference paper,Specifying Digital Twin Synchronization in Manufacturing Systems Using Stochastic and Timed Automata,2026,Derigent W.; Marangé P.,Derigent W.,Studies in Computational Intelligence,1274 SCI,,217-226,10.1007/978-3-032-18786-4_19,https://www.scopus.com/pages/publications/105040361628?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,,10.1007/978-3-032-18786-4_19,2026 - Specifying Digital Twin Synchronization in Manufacturing Systems Using Stochastic and Timed Automata.pdf,,,,,Include,,,,Include,,"Title contains DT/model, validation/update, and production/manufacturing signals.",Include,,"Abstract contains DT/model, production/manufacturing, and explicit validation/calibration/update/synchronization evidence.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"Digital Twins are now recognized as a promising technology to attain better reactivity, flexibility, even resilience of manufacturing systems. Due to its monitoring and forecasting capability, a Digital Twin could be a wonderful advantage offered to Industry5.0 systems. However, none of these envisioned capabilities is achievable without a proper way to ensure that the Digital Twin model is always a correct replica of the system of interest, i.e. that it keeps being synchronized with its physical twin. However, this synchronization process, which is essential and is the heart of the digital twin connection to the real world, has been barely studied in the manufacturing system’s literature. If general methods exist to implement synchronization, they always stay at a conceptual level and do not present a practical guide to implement it. This paper is thus written as a first step towards a formal methodology going gradually from the requirements of synchronization to the synchronization actions needed at the Digital Twin level. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",,,2-s2.0-105040361628,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0457,2-s2.0-105036497611,Conference paper,YZ1.0-MOM: An Integrated Intelligent Management System for Smart Textile Factories Based on Digital Twin and Deep Learning,2026,Su Z.; Sun G.; Wu T.,Su Z.,"Proceedings of 2025 6th International Conference on Computer Science and Management Technology, ICCSMT 2025",,,1092-1096,10.1145/3795154.3795332,https://www.scopus.com/pages/publications/105036497611?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,,10.1145/3795154.3795332,2026 - YZ1.0-MOM An Integrated Intelligent Management System for Smart Textile Factories Based on Digital Twin and Deep Learning.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Include,,"Abstract contains DT/model, production/manufacturing, and explicit validation/calibration/update/synchronization evidence.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"In the dynamic landscape of Industry 4.0, the textile manufacturing sector faces persistent challenges including data fragmentation, suboptimal quality control, and static production scheduling. Existing Manufacturing Operations Management (MOM) solutions often lack the necessary integration of high-speed data transmission and sophisticated decision-making algorithms. This paper presents the YZ1.0-MOM system, an integrated intelligent framework leveraging Digital Twin (DT), 5G communication, Deep Learning, and the Internet of Things (IoT). We propose a high-fidelity DT model utilizing the Ensemble Kalman Filter (EnKF) for real-time synchronization. A ResNet-50 architecture integrated with the Convolutional Block Attention Module (CBAM) is employed for the multi-class classification of fabric defects. Furthermore, the system incorporates a fine-tuned Genetic Algorithm (GA) to solve the multi-objective Flexible Job-shop Scheduling Problem (FJSP), optimizing the Makespan and minimizing machine load variance. Detailed implementation and deployment in a knitting enterprise confirm that the system enhances production efficiency (quantified by a 24.3% reduction in Makespan and a 37.8% decrease in WIP inventory) and reduces the final product defect rate by 35.4% compared to the manual baseline, as detailed in Section 6.2 and Table III, and provides a robust foundation for proactive maintenance and sustainable manufacturing. © 2025 Copyright held by the owner/author(s).",,,2-s2.0-105036497611,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0498,2-s2.0-105034483384,Article,Behavioral trust management in Digital Twin systems using safe state analysis and virtual validation,2026,Azzedin F.; Alhazmi T.; Abawajy J.; Hammoudeh M.,Azzedin F.,Information and Software Technology,194,,,10.1016/j.infsof.2026.108093,https://www.scopus.com/pages/publications/105034483384?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1016/j.infsof.2026.108093,2026 - Behavioral trust management in Digital Twin systems using safe state analysis and virtual validation.pdf,,,,,Include,,,,Include,,Title contains DT/model and validation/update signals; kept as potentially transferable.,Uncertain,,"Abstract contains DT and production/manufacturing context, but validation/update evidence is not explicit enough.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"Context:Digital Twins (DTs) emerged as critical enablers across diverse domains such as manufacturing, healthcare, and smart cities. Yet, a persistent challenge lies in establishing and maintaining trust between the DT and its corresponding Physical Twin (PT). The rapid adoption of DTs across critical domains emphasizes the need for robust trust management mechanisms to ensure safe and reliable cyber–physical interactions.Objective:While previous research largely focused on securing data integrity and communication, the internal dynamics of trust within DT systems remain underexplored. This article presents a framework for assessing the trustworthiness of DT systems by focusing on intra-twin behavioral trust.Methods:Unlike existing approaches that predominantly rely on simple DT structures and focus on inter- or extra-twin trust, our framework models DTs as composite systems composed of interconnected sub-DTs. Trust is computed dynamically using subjective logic, incorporating safety and reachability analysis, deviation quantification, and a decay-aware interaction model.Results:The framework is validated through a detailed incubator case study. The results demonstrate the framework’s capacity to detect and mitigate trust-related threats such as overcooling and overheating, adapt to evolving DT behavior, and outperform alternative trust update schemes in this specific operational context.Conclusion:These contributions advance the state-of-the-art in DT trust modeling and provide a practical foundation for deploying trustworthy DTs in safety-critical applications, subject to further validation in broader domains. © 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",,,2-s2.0-105034483384,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0560,2-s2.0-105040143134,Conference paper,Verification and Validation of the Numerical and Reduced Models of Roller Bearings,2026,Borim A.L.; Carrer L.; Machado T.H.; Dedini K.L.C.,Borim A.L.,Lecture Notes in Mechanical Engineering,,,507-516,10.1007/978-3-032-11549-2_51,https://www.scopus.com/pages/publications/105040143134?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,,10.1007/978-3-032-11549-2_51,2026 - Verification and Validation of the Numerical and Reduced Models of Roller Bearings.pdf,,,,,Include,,,,Uncertain,,"Title contains validation/update and model/simulation signals, but production and DT relevance need abstract screening.",Uncertain,,"Abstract has model and validation/update signals, but production-system DT relevance needs full-text confirmation.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"In the era of digital twins, computational software plays a crucial role in enabling more efficient projects that complement physical testing. This study, motivated by the development of a digital model aimed at diagnosing failures in roller bearings of transmission systems, proposes the application of the Verification and Validation (V&V) process, following ASME standards, to ensure that the computational model accurately represents the real behavior of these components. The procedure involves two main steps: verification and validation. Verification is subdivided into model verification, which compares the code outputs with analytical theoretical models to confirm consistency with established theory, and calculation verification, which assesses the numerical accuracy through mesh refinement analysis. Validation involves comparing the computational results with experimental data to determine whether the model produces values consistent with reality. Only when both verification and validation yield consistent outcomes can the model be considered reliable for practical use. A progressive approach is adopted for model verification, starting with a simple theoretical model of roller bearings based on Hertzian contact theory under static equilibrium and dry contact, evolving to an elastohydrodynamic (EHD) lubrication model, and finally advancing to a multi-level computational model. Experimental tests are conducted to confirm practical validation, ensuring that the implemented digital twin is both reliable and representative of real-world applications. © 2026, Springer Science and Business Media Deutschland GmbH. All rights reserved.",,,2-s2.0-105040143134,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
NS0643,2-s2.0-105020969131,Article,Smart Manufacturing Innovation Through the Integration of Digital Twin and IoT Energy Management,2025,Kwon Y.,Kwon Y.,"International Journal of Control, Automation and Systems",23,11,3427-3439,10.1007/s12555-025-0046-1,https://www.scopus.com/pages/publications/105020969131?origin=resultslist,Article,Final,Scopus,English,Cited by 2,,10.1007/s12555-025-0046-1,2025 - Smart Manufacturing Innovation Through the Integration of Digital Twin and IoT Energy Management.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Uncertain,,"Abstract contains DT and production/manufacturing context, but validation/update evidence is not explicit enough.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"This study proposes a digital twin (DT)-based IoT energy management framework to improve efficiency and reliability in smart manufacturing environments. The framework builds a closed-loop architecture where IoT sensor data are continuously synchronized with a DT engine to enable real-time monitoring, optimization, and adaptive control. Validation was conducted in a simulation platform designed to reflect realistic manufacturing conditions, incorporating hardware parameters and communication constraints to ensure practical relevance. The results show significant improvements in energy consumption, latency, reliability, and battery lifetime compared with conventional transmission strategies. In addition, scalability tests with varying network sizes confirmed that the framework maintains stable and predictable performance as the number of devices increases. These findings demonstrate the potential of the proposed framework to support energy-aware and resilient smart manufacturing systems, bridging the gap between conceptual design and practical deployment. © ICROS, KIEE and Springer 2025.",,,2-s2.0-105020969131,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,,,,,,screening_retained_66,Retained after Level 3 screening.
