classification_source,source_screening_id,screening_id,record_key,title,year,authors,first_author,source_title,document_type,language,doi,scopus_url,abstract,author_keywords,index_keywords,level_3_fulltext_decision,manual_level3_decision,manual_level3_note,object_class_decision,object_class_label,object_class_note
old_screened_converted,OLD0002,OLDOBJ0002,OLDOBJ0002,Mechanics-based digital twin model for structural construction using 3D scanning and FE model updating,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0004,OLDOBJ0004,OLDOBJ0004,Fluidised bed membrane reactor for ultrapure hydrogen production via methane steam reforming: Experimental demonstration and model validation,2007,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0007,OLDOBJ0007,OLDOBJ0007,Enhancing structural damage evaluation of PC girder bridges through digital twinning Bayesian model updating,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0008,OLDOBJ0008,OLDOBJ0008,Digital twin - based model updating method for mechanical behaviors analysis of cable truss structure,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0013,OLDOBJ0013,OLDOBJ0013,Development of a Baseline Digital Twin Model as a Prerequisite for the Digital Twin Definition of a PSC-I Bridge with Model Updating Considering Member Stiffness,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0014,OLDOBJ0014,OLDOBJ0014,Online geometry assurance in individualized production by feedback control and model calibration of digital twins,2023,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0015,OLDOBJ0015,OLDOBJ0015,Genetic Algorithm-Based Model Updating in a Real-Time Digital Twin for Steel Bridge Monitoring,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0016,OLDOBJ0016,OLDOBJ0016,Digital twin model calibration of HVAC system using adaptive domain Nelder-Mead method,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0019,OLDOBJ0019,OLDOBJ0019,Digital Twin Validation and Thermal Control Aspects in a Power Conversion Module,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0020,OLDOBJ0020,OLDOBJ0020,High-Fidelity Digital-Twin Validation and Creation of an Experimental Database for Electromechanical Actuators Inclusive of Failures,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0022,OLDOBJ0022,OLDOBJ0022,Reusing Model Validation Methods for the Continuous Validation of Digital Twins of Cyber-Physical Systems,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0023,OLDOBJ0023,OLDOBJ0023,Real-time Validation of Digital Models for Manufacturing Systems: a Novel Signal-processing-based Approach,2019,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0024,OLDOBJ0024,OLDOBJ0024,Dynamic IoT–PID Control for Energy-Efficient Water Distribution: EPANET-Based Digital Twin Validation in Varied Geographical Terrains,2026,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0027,OLDOBJ0027,OLDOBJ0027,A digital twin-based system for timely simulation of bridge structural performance with finite element model updating,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
