classification_source,source_screening_id,screening_id,record_key,title,year,authors,first_author,source_title,document_type,language,doi,scopus_url,abstract,author_keywords,index_keywords,level_3_fulltext_decision,manual_level3_decision,manual_level3_note,object_class_decision,object_class_label,object_class_note
old_screened_converted,OLD0001,OLDOBJ0001,OLDOBJ0001,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0003,OLDOBJ0003,OLDOBJ0003,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0005,OLDOBJ0005,OLDOBJ0005,Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing,2013,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0006,OLDOBJ0006,OLDOBJ0006,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0009,OLDOBJ0009,OLDOBJ0009,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0010,OLDOBJ0010,OLDOBJ0010,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0011,OLDOBJ0011,OLDOBJ0011,Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,2023,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0012,OLDOBJ0012,OLDOBJ0012,DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,2021,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0017,OLDOBJ0017,OLDOBJ0017,Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0018,OLDOBJ0018,OLDOBJ0018,Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0021,OLDOBJ0021,OLDOBJ0021,Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0025,OLDOBJ0025,OLDOBJ0025,System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation,2026,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0026,OLDOBJ0026,OLDOBJ0026,"Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data",2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0028,OLDOBJ0028,OLDOBJ0028,Digital twin-assisted gearbox dynamic model updating toward fault diagnosis,2023,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0029,OLDOBJ0029,OLDOBJ0029,Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
