screening_id,bibtex_key,entry_type,title,year,authors,first_author,source_title,volume,issue,pages,doi,scopus_url,document_type,publication_stage,scopus_source,language,citation_note,open_access_note,pdf_search_query,suggested_pdf_filename,pdf_status,pdf_file_path,duplicate_group,duplicate_decision,level_0_decision,level_0_exclusion_criterion,level_0_notes,level_0_language_flag,level_1_title_decision,level_1_exclusion_criterion,level_1_notes,level_2_abstract_decision,level_2_exclusion_criterion,level_2_notes,level_3_fulltext_decision,level_3_exclusion_criterion,level_3_notes,final_decision,included_reason,abstract,author_keywords,index_keywords,abstract_merge_key,abstract_merge_status,manual_level3_decision,manual_level3_note
OLD0001,,,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: physics/process model+ data-driven/ML; validation: error/accuracy metric+ scenario/case study+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0002,,,Mechanics-based digital twin model for structural construction using 3D scanning and FE model updating,2025,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element+ geometry-driven; validation: error/accuracy metric+ scenario/case study+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0003,,,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: physics/process model; validation: measurement/experiment comparison,,,,,,IN,Imported previous-screening inclusion.
OLD0004,,,Fluidised bed membrane reactor for ultrapure hydrogen production via methane steam reforming: Experimental demonstration and model validation,2007,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: physics/process model; validation: measurement/experiment comparison,,,,,,IN,Imported previous-screening inclusion.
OLD0005,,,Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing,2013,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: production; object: resource level; model: physics/process model; validation: measurement/experiment comparison,,,,,,IN,Imported previous-screening inclusion.
OLD0006,,,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element; validation: measurement/experiment comparison,,,,,,IN,Imported previous-screening inclusion.
OLD0007,,,Enhancing structural damage evaluation of PC girder bridges through digital twinning Bayesian model updating,2024,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element+ Bayesian; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0008,,,Digital twin - based model updating method for mechanical behaviors analysis of cable truss structure,2024,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0009,,,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element+ surrogate/ROM+ data-driven/ML; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0010,,,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element+ data-driven/ML+ system/network model; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0011,,,Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,2023,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: knowledge/ontology+ CFD+ surrogate/ROM+ data-driven/ML; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0012,,,DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,2021,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element+ physics/process model+ simulation model; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0013,,,Development of a Baseline Digital Twin Model as a Prerequisite for the Digital Twin Definition of a PSC-I Bridge with Model Updating Considering Member Stiffness,2025,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0014,,,Online geometry assurance in individualized production by feedback control and model calibration of digital twins,2023,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: production; object: resource level; model: finite element+ state estimation+ control+ geometry-driven; validation: measurement/experiment comparison+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0015,,,Genetic Algorithm-Based Model Updating in a Real-Time Digital Twin for Steel Bridge Monitoring,2025,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element+ optimization; validation: measurement/experiment comparison+ error/accuracy metric+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0016,,,Digital twin model calibration of HVAC system using adaptive domain Nelder-Mead method,2025,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: simulation model+ optimization; validation: measurement/experiment comparison+ error/accuracy metric+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
OLD0017,,,Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,2024,,,,,,,,,,,Old screened paper.csv,,,,,,,,,,Include,,Imported from previous screened-paper table.,,Include,,Imported from previous screened-paper table; title-level screening not rerun.,Include,,Imported from previous screened-paper table; abstract screening not rerun.,Include,,Imported from previous screened-paper table after removing uncertain/malformed and already-new records.,Include,Previous revision screened record; not duplicated in new screening export. scenario: non-production; model: finite element+ physics/process model; validation: measurement/experiment comparison+ error/accuracy metric+ calibration/update check,,,,,,IN,Imported previous-screening inclusion.
