screening_id,record_key,entry_type,title,year,authors,first_author,source_title,volume,issue,pages,doi,scopus_url,document_type,publication_stage,scopus_source,language,citation_note,open_access_note,pdf_search_query,suggested_pdf_filename,pdf_status,pdf_file_path,duplicate_group,duplicate_decision,level_0_decision,level_0_exclusion_criterion,level_0_notes,level_0_language_flag,level_1_title_decision,level_1_exclusion_criterion,level_1_notes,level_2_abstract_decision,level_2_exclusion_criterion,level_2_notes,level_3_fulltext_decision,level_3_exclusion_criterion,level_3_notes,final_decision,included_reason,abstract,author_keywords,index_keywords,abstract_source_key,abstract_source_status
NS0002,2-s2.0-105039326795,Article,Physics-informed hybrid Digital Twin for decoupling multi-source degradation in marine propulsion systems,2026,Shao W.; Liu L.; Qu X.; Shen G.; Meng Y.; Liu D.,Shao W.,Energy Conversion and Management,363,,,10.1016/j.enconman.2026.121589,https://www.scopus.com/pages/publications/105039326795?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1016/j.enconman.2026.121589,2026 - Physics-informed hybrid Digital Twin for decoupling multi-source degradation in marine propulsion systems.pdf,,,,,Include,,,,Exclude,L1-E-NOPROD,Title is DT-related but clearly outside production/manufacturing and lacks a validation/update signal.,,,,,,,,,"Accurate degradation quantification in marine propulsion systems is essential for restoring optimal energy conversion efficiency and advancing intelligent condition-based maintenance. However, real-time onboard diagnosis is severely restricted by limited sensor availability. Under such constraints, multiple concurrent aging mechanisms produce nearly identical macroscopic outputs, causing inverse identification to suffer from structural equifinality. Furthermore, conventional metaheuristic solvers and Bayesian inference methods demand prohibitive computational costs and yield inaccurate estimations. To overcome these bottlenecks, this study proposes a physics-informed framework termed Sequential Two-stage Reconstruction for Inverse Degradation Estimation (STRIDE). A fast Digital Twin is constructed via a hybrid methodology superimposing global polynomial regression with a local Radial Basis Function network. Crucially, STRIDE exploits single-cylinder motoring conditions to isolate air-path degradation. These initial estimates subsequently serve as Tikhonov-regularized priors for fuel-path reconstruction under normal firing operations. This sequential strategy systematically transforms one ill-conditioned six-parameter inverse problem into two well-conditioned subproblems without requiring extra physical sensors. Validation across 100 stochastic multi-fault scenarios demonstrates exceptional precision, accurately quantifying coupled degradation with minimal root mean square errors, including 0.011 °CA for injection timing and 1.771 mg/cyc for fuel mass. Extensive benchmarking confirms that the proposed framework significantly outperforms traditional optimization algorithms and advanced probabilistic baselines in decoupling accuracy. Deployed on a real-time Hardware-in-the-Loop simulator, the complete diagnostic cycle executes in approximately 15 ms. By successfully decoupling multi-source degradation and mathematically circumventing structural equifinality, this architecture establishes a highly accurate and computationally feasible foundation for dynamic efficiency recovery in aging marine power systems. Copyright © 2026. Published by Elsevier Ltd.",,,2-s2.0-105039326795,from_scopus_csv
NS0006,2-s2.0-105030120291,Article,Measurement-informed digital twin for oil-film pressure-field prediction in hydrostatic thrust bearings,2026,Liu Z.; Chen P.; Guan Y.; Huang W.; Gu D.; Wang R.; Zhang M.,Liu Z.,Measurement: Journal of the International Measurement Confederation,269,,,10.1016/j.measurement.2026.120712,https://www.scopus.com/pages/publications/105030120291?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1016/j.measurement.2026.120712,2026 - Measurement-informed digital twin for oil-film pressure-field prediction in hydrostatic thrust bearings.pdf,,,,,Include,,,,Exclude,L1-E-NOPROD,Title is DT-related but clearly outside production/manufacturing and lacks a validation/update signal.,,,,,,,,,"To advance the intelligent manufacturing of large-tonnage inertial friction welding machines, this study proposes a measurement-informed digital-twin modeling method for the spindle hydrostatic thrust bearing. A high-fidelity CFD model is established in ANSYS Fluent, with solution convergence and mesh independence verified, and the resulting pressure snapshots are reduced using Proper Orthogonal Decomposition to mitigate computational latency in full-order simulations. The reduced coefficients are used to train a multi-kernel SVR, improving prediction stability under varying operating conditions. Using sensor measurements, gappy-POD same-point alignment updates the POD coefficients at the coefficient layer to calibrate the surrogate and enable information flow between the twin and the online monitoring system. Results show that the POD-MKL-SVR digital twin achieves a maximum relative error of 1.33% and a single inference time of 0.87 s. Relative to the ANSYS Fluent full-order simulation (1213.4 s per case on average), this corresponds to an about 1395-fold speedup. Compared with POD-SVR and POD-RBF baselines, the proposed method exhibits lower errors and reduced fluctuations. Validation with 12 measured operating conditions further shows that coefficient-layer calibration corrects minor deviations and enhances robustness. In addition, the reconstructed pressure field can be post-processed into engineering indicators such as load capacity and a pressure non-uniformity metric for bearing performance assessment and control. © 2026 Elsevier Ltd",,,2-s2.0-105030120291,from_scopus_csv
NS0012,2-s2.0-105026888675,Review,Sustainable and regulatory perspectives on stimuli-responsive protein-based films for postharvest food and feed preservation,2026,Sabaghi M.; Seyedalmoosavi M.M.; Tavasoli S.,Sabaghi M.,Journal of Stored Products Research,116,,,10.1016/j.jspr.2025.102947,https://www.scopus.com/pages/publications/105026888675?origin=resultslist,Review,Final,Scopus,English,Cited by 0,,10.1016/j.jspr.2025.102947,2026 - Sustainable and regulatory perspectives on stimuli-responsive protein-based films for postharvest food and feed preservation.pdf,,,,,Include,,,,Exclude,L1-E-NODT,Title lacks DT-like model or simulation/model signal.,,,,,,,,,"Stimuli-responsive nutri-packaging has emerged as a promising strategy for preserving the quality, safety, and nutritional integrity of perishable food and feed products. This review focuses on protein-based sustainable packaging materials, highlighting performance enhancement strategies and the design of stimuli-responsive films, including physically, chemically, and biologically responsive systems. These materials are engineered to delay senescence, inhibit microbial growth, and limit nutrient degradation in fruits, vegetables, and compound feeds. Sustainability aspects are addressed through eco-design approaches, valorization of agro-industrial by-products, and Life Cycle Assessment, while the emerging role of Digital Twin technologies is discussed as a tool for simulating and optimizing packaging performance across the life cycle. Relevant regulatory and safety frameworks for food and feed applications are reviewed, along with future perspectives such as responsive modified atmosphere packaging and biosensor integration. Overall, this review provides a multidisciplinary outlook on protein-based stimuli-responsive films aligned with Sustainable Development Goals 3, 9, and 12. © 2025 Elsevier Ltd",,,2-s2.0-105026888675,from_scopus_csv
NS0013,2-s2.0-105035593127,Review,AAOSC: Adaptive agent-oriented system control,2026,Mansouri S.S.; Reuthe E.; Boskabadi M.R.; Savoie C.J.,Mansouri S.S.,Current Opinion in Chemical Engineering,52,,,10.1016/j.coche.2026.101253,https://www.scopus.com/pages/publications/105035593127?origin=resultslist,Review,Final,Scopus,English,Cited by 0,All Open Access; Hybrid Gold Open Access,10.1016/j.coche.2026.101253,2026 - AAOSC Adaptive agent-oriented system control.pdf,,,,,Include,,,,Exclude,L1-E-NODT,Title lacks DT-like model or simulation/model signal.,,,,,,,,,"The challenges in orchestrating complex industrial processes — whether in biomanufacturing, supply chains, or sustainable fuel production — stem from their inherently nonlinear dynamics, the opacity of real-time measurements in harsh environments, and the escalating demands for resilience amid global disruptions and decarbonization mandates. Traditional centralized control architectures, reliant on exhaustive sensor arrays and rigid optimization routines, falter under these uncertainties, leading to suboptimal yields, safety vulnerabilities, and inefficient resource use. As articulated in recent perspectives on agentic Artificial Intelligence (AI) in process systems engineering, these limitations underscore the urgent need for paradigms that harness distributed, adaptive decision-making to bridge sensing gaps, infer hidden patterns, and enact proactive decisions. In this perspective, we have revitalized the foundational Adaptive Agent-Oriented Software Architecture, the very blueprint that powered early distributed AI innovations like Apple's Siri — and evolved it into the Adaptive Agent-Oriented System Control (AAOSC) framework a decentralized control layer built around specialized autonomous agents coordinated through digital twins and real-time communication protocols. Rather than proposing new algorithmic components, AAOSC provides a unifying architectural approach for integrating hybrid physics-informed models, learning-based inference, and distributed control in cyber-physical process systems. The four case studies presented herein — spanning supply chain security, closed-loop biomanufacturing control, quantum-enhanced anomaly detection, and prospective optimization of digital twin for biomass-derived sustainable aviation and maritime fuels — collectively demonstrate AAOSC's prowess: reducing deviation durations, averting shutdowns in severe fault scenarios, and boosting efficiency through virtual sensing and decentralized reasoning, all while aligning with regulatory imperatives for safety and sustainability. Looking ahead, AAOSC charts a pathway toward cyber-physical ecosystems designed to support future regulatory-aligned deployment in safety-critical industries that not only minimize human fatigue-related risks — a leading cause of incidents in manufacturing — but also democratize advanced control for decentralized operations worldwide. Future implementations must prioritize hybrid edge-cloud deployments for low-latency actuation, robust cryptographic protocols for agent authentication in multi-stakeholder networks, and qualification and governance frameworks that would be required for compliance with U.S. Food and Drug Administration/European Medicines Agency (FDA/EMA) standards in regulated industries for biopharma and food production. Extensions could incorporate multi-logic decision ensembles within agents, quantum-accelerated reasoning for ultra-fast inference, and seamless integration with emerging generative models for predictive scenario generation. By thus extending agentic principles from consumer interfaces to mission-critical sustainability challenges, AAOSC promises to catalyze a new era of resilient, equitable industrial intelligence, where computational agents tirelessly safeguard and optimize the physical world. © 2026 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/",,,2-s2.0-105035593127,from_scopus_csv
NS0018,2-s2.0-105040567445,Review,"Edge deep learning empowering the evolution of food nondestructive detection technologies from lab to real-world: Principles, mechanisms and applications",2026,Shi Z.; Zhang H.; Lin Y.; Cheng J.-H.; Wang L.; Luan F.; Chang X.; Hu Z.,Shi Z.,Trends in Food Science and Technology,174,,,10.1016/j.tifs.2026.105850,https://www.scopus.com/pages/publications/105040567445?origin=resultslist,Review,Final,Scopus,English,Cited by 0,,10.1016/j.tifs.2026.105850,"2026 - Edge deep learning empowering the evolution of food nondestructive detection technologies from lab to real-world Principles, mechanisms and applications.pdf",,,,,Include,,,,Exclude,L1-E-NODT,Title lacks DT-like model or simulation/model signal.,,,,,,,,,"Background: Growing complexity in food supply chains and the demand for rapid, continuous, nondestructive monitoring pose major challenges to food quality assessment. These challenges are amplified by the high-dimensional data generated by modern sensing technologies, while conventional laboratory workflows and centralized cloud processing are often limited by latency, bandwidth, and privacy constraints. Edge deep learning addresses these limitations by moving computation and inference closer to the data source, enabling more timely and secure inspection. Scope and approach: This review summarizes recent advances in edge deep learning for food nondestructive detection, with emphasis on the transition from laboratory-based analysis to cloud-assisted and edge-deployed frameworks. Edge hardware, sensing and data-acquisition strategies, and synchronization and communication mechanisms for industrial environments are examined. Lightweight architectures and model compression strategies, including pruning, quantization, and knowledge distillation, are discussed to balance accuracy and efficiency under resource constraints. Representative applications in production-line sorting, cold-chain monitoring, and multi-node collaborative systems are also reviewed. By moving beyond reviews centered mainly on sensing technologies, data fusion, or modeling workflows, this review highlights a deployment-oriented pathway from laboratory-developed models to practical edge-side food nondestructive detection systems. Key findings and conclusions: Edge deep learning is accelerating the transition of food nondestructive detection from laboratory prototypes to practical deployment. By integrating sensing, computation, and decision-making near the data source, more responsive, efficient, and privacy-aware inspection systems can be achieved. Remaining challenges include model generalization, long-term reliability, and system trustworthiness. Federated learning, explainable AI, and digital twins are promising directions for next-generation food quality assessment. © 2026 Elsevier Ltd",,,2-s2.0-105040567445,from_scopus_csv
NS0019,2-s2.0-105036494267,Article,The Destination Earth digital twin for climate change adaptation,2026,Doblas-Reyes F.J.; Kontkanen J.; Sandu I.; Acosta M.; Al Turjmam M.H.; Alsina-Ferrer I.; Andrés-Martínez M.; Anerdi C.; Arriola L.; Axness M.; Batlle Martín M.; Bauer P.; Becker T.; Beltrán D.; Beyer S.; Bockelmann H.; Bretonnière P.-A.; Cabaniols S.; Caprioli S.; Castrillo M.; Chandrasekar A.; Cheedela S.; Correal V.; Danovaro E.; Davini P.; Enkovaara J.; Frauen C.; Früh B.; Gaya Àvila A.; Ghinassi P.; Ghosh R.; Ghosh S.; González I.; Grayson K.; Griffith M.; Hadade I.; Haine C.; Hartick C.; Haus U.-U.; Hearne S.; Järvinen H.; Jiménez B.; John A.; Juchem M.; Jung T.; Kegel J.; Kelbling M.; Keller K.; Kinoshita B.; Kiszler T.; Klocke D.; Kluft L.; Koldunov N.; Kölling T.; Kolstela J.; Kornblueh L.; Kosukhin S.; Lacima-Nadolnik A.; Leal Rojas J.J.; Lehtiranta J.; Lunttila T.; Luoma A.; Manninen P.; Medvedev A.; Milinski S.; Mohammed A.; Müller S.; Naryanappa D.; Nazarova N.; Niemelä S.; Niraula B.; Nortamo H.; Nummelin A.; Nurisso M.; Ortega P.; Paronuzzi S.; Pedruzo-Bagazgoitia X.; Pelletier C.; Peña C.; Polade S.; Pradhan H.K.; Quintanilla R.; Quintino T.; Rackow T.; Räisänen J.; Rajput M.M.; Redler R.; Reuter B.; Rocha Monteiro N.; Roura-Adserias F.; Ruppert S.; Sayed S.; Schnur R.; Sharma T.; Sidorenko D.; Sievi-Korte O.; Soret A.; Steger C.; Stevens B.; Streffing J.; Sunny J.; Tenorio L.; Thober S.; Tigerstedt U.; Tinto O.; Tonttila J.; Tuomenvirta H.; Tuppi L.; Van Thielen G.; Vitali E.; von Hardenberg J.; Wagner I.; Wedi N.; Wehner J.; Willner S.; Yepes-Arbós X.; Ziemen F.; Zimmermann J.,Doblas-Reyes F.J.,Geoscientific Model Development,19,7,2821-2848,10.5194/gmd-19-2821-2026,https://www.scopus.com/pages/publications/105036494267?origin=resultslist,Article,Final,Scopus,English,Cited by 4,,10.5194/gmd-19-2821-2026,2026 - The Destination Earth digital twin for climate change adaptation.pdf,,,,,Include,,,,Exclude,L1-E-NOVAL,Title lacks validation/update and production/manufacturing signals.,,,,,,,,,"The Climate Change Adaptation Digital Twin (Climate DT), developed as part of the European Commission's Destination Earth (DestinE) initiative, sets up an operational system for producing multi-decadal, multi-model global climate projections and translating climate data into climate impact information to support adaptation efforts. This system delivers data with local granularity at spatial resolutions of 5–10 km and hourly outputs, leading to globally consistent information at scales that matter for decision-making. It also enables the testing of what-if scenarios such as high-resolution storylines, which are physically consistent global simulations of extreme events under different climate conditions and provide contextual insights to support concrete adaptation decisions. They support the generation of more equitable (understood as accessible and relevant across regions) climate information. The Climate DT is built on cutting-edge infrastructure, expert collaboration, and digital innovation. It is designed to support on-demand responses to policy questions, with quantified uncertainty. It will foster interactivity by allowing users to influence simulation design, model output portfolios, and application integration through co-design. AI-based tools, including emulators and chatbots, are being developed in parallel to enhance climate information access. Sector-specific applications are embedded in the system to synchronously translate climate data into tailored climate-impact indicators, with examples provided for energy, water, and forest management. The applications have been co-designed with informed users. A unified, cross-platform workflow defines the orchestration of all components, which is handled by a single workflow manager and relies on containerised components, facilitating automation, portability, maintainability, and traceability. Data management is unified using standard grids (HEALPix), ensuring consistency and easing data usability under a strict governance policy. Streaming enables real-time data use by the data consumers and unlocks access to the unprecedented data wealth produced by the high-resolution simulations. Monitoring tools provide real-time quality control of data and model outputs and enable continuous assessment of the realism of the climate simulations during Climate DT operation. The compute-intensive system is powered by world-class supercomputing capabilities through a strategic partnership with the European High Performance Computing Joint Undertaking (EuroHPC). Despite high computational demands, the Climate DT sets a new benchmark for delivering equitable, credible, and actionable climate information. It complements existing initiatives like CMIP, CORDEX, and national and European climate services, and aligns with global climate science goals to support climate adaptation. © 2026 Francisco J. Doblas-Reyes et al.",,,2-s2.0-105036494267,from_scopus_csv
NS0020,2-s2.0-105033438722,Article,Applying AI and machine learning to refrigeration for efficiency and asset management,2026,Dickison A.,Dickison A.,Clean Technologies and Environmental Policy,28,4,,10.1007/s10098-026-03455-2,https://www.scopus.com/pages/publications/105033438722?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1007/s10098-026-03455-2,2026 - Applying AI and machine learning to refrigeration for efficiency and asset management.pdf,,,,,Include,,,,Exclude,L1-E-NODT,Title lacks DT-like model or simulation/model signal.,,,,,,,,,"Industrial refrigeration is one of the world's most ubiquitous and energy-intensive services, underpinning critical sectors such as food processing, logistics, and manufacturing. Improving energy efficiency in these systems is not only a matter of economic necessity but also a key driver for sustainability and climate action. Recent advances in science, engineering, and digital transformation have opened new pathways for optimising refrigeration systems. The integration of machine learning, digital twins, and smart analytics enables continuous optimisation, maloperation detection, and asset integrity evaluation, helping move beyond traditional time-based maintenance and advisory platforms to practical, data-driven control solutions. This paper explores the principles and practical implementation of digital transformation in industrial refrigeration, focusing on Beca’s proprietary Maestro model predictive controller and its alignment with recommendations from the Australian Meat Processing Corporation (AMPC) guidebooks. Through case studies and data insights, we demonstrate how this digital tool can deliver energy savings of up to 36%, improve asset management, and support sustainability goals. The paper concludes with a discussion of the broader economic and environmental impacts, and the potential for scaling these solutions across the global refrigeration asset base. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2026.",,,2-s2.0-105033438722,from_scopus_csv
NS0021,2-s2.0-105033220625,Article,A holistic approach to multi-scale and multi-perspective urban digital twin development,2026,Ali Z.; Traoré M.K.,Ali Z.,"Computers, Environment and Urban Systems",127,,,10.1016/j.compenvurbsys.2026.102432,https://www.scopus.com/pages/publications/105033220625?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1016/j.compenvurbsys.2026.102432,2026 - A holistic approach to multi-scale and multi-perspective urban digital twin development.pdf,,,,,Include,,,,Exclude,L1-E-NOPROD,Title is DT-related but clearly outside production/manufacturing and lacks a validation/update signal.,,,,,,,,,"Urban Digital Twin (UDT) has emerged as an innovative approach for smart city management, and it holds potential to address multi-perspective urban phenomena at multiple scales of the urban ecosystem. Different UDT solutions are proposed by different researchers. However, they are highly influenced by their applications and use cases. Thus, they lack a holistic approach to the development of scalable UDT. In addition, researchers from different domains have different perspectives on UDT and treat them in various ways. As a result, there are some inconsistencies. Furthermore, the aspect of model updates with data to dynamically reflect real-world reality is often neglected. These factors highlight the lack of UDT standards and reveal fragmented views that hinder the very needed holistic UDT approach. This paper proposes a UDT framework to address these gaps towards the development of a holistic UDT. The framework integrates data, models, and services driven architecture to twin the multiple-perspectives of a dynamic urban system at multiple-scales. In addition, it also incorporates different UDT stakeholders across designated levels through standardized classification, which often lacks in the literature. To validate the proposed solution, a case study of the University of Bordeaux UDT is also presented that integrates the phenomena of mobility and energy at different urban scales. A UDT solution based on such framework enables to monitor, predict, diagnose, optimize, and simulate scenarios for various urban phenomena when integrated those dimensions, through virtual representation of physical urban ecosystem. © 2026 Elsevier Ltd",,,2-s2.0-105033220625,from_scopus_csv
NS0022,2-s2.0-105040509459,Conference paper,Research on Adaptive Diagnosis and Optimal Control Driven by Multi-Source Data of Mechanical Equipment Running State,2026,Lin Y.; Cheng H.; Huang G.; Xie Z.; Qin F.,Lin Y.,IET Conference Proceedings,2025,47,1165-1170,10.1049/icp.2026.0383,https://www.scopus.com/pages/publications/105040509459?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,,10.1049/icp.2026.0383,2026 - Research on Adaptive Diagnosis and Optimal Control Driven by Multi-Source Data of Mechanical Equipment Running State.pdf,,,,,Include,,,,Exclude,L1-E-NODT,Title lacks DT-like model or simulation/model signal.,,,,,,,,,"In this study, an integrated framework of ""perception-diagnosis-control"" is proposed to solve the problems of difficult integration of multi-source heterogeneous data of mechanical equipment, slow adaptation to working condition drift and split diagnosis-control under the background of Industry 4.0. Core innovations include: 1) Building a dynamic feature fusion module based on graph attention network (GAT), modeling sensors as graph nodes, and adaptively calculating weights through attention mechanism to realize spatial association mining and key feature extraction of multimodal data, 2) Design an online incremental diagnosis framework based on elastic weight consolidation (EWC), use Fisher information matrix to quantify the importance of parameters, impose regular constraints on key parameters of old tasks, and control the performance loss caused by catastrophic forgetting within 2%, 3) Develop a multi-objective optimization control strategy integrating deep reinforcement learning (DRL) with digital twins. Employing the Proximal Policy Optimization (PPO) algorithm, construct a synergistic reward function balancing efficiency, energy consumption, and lifespan. Virtual debugging reduces physical testing risks by 70%. The validation on the IMS dataset of CNC machine tools shows that the proposed Dynamic Graph Attention Network (DGAT) fusion method has significantly better accuracy (95.3%) and F1 score (0.937) than traditional stitching methods, Compared with the fixed parameter method, DRL control strategy improves efficiency by 25%, reduces energy consumption by 8.6%, and reduces wear rate by 22.9%. This research realizes the leap from passive response to active optimization of equipment operation and maintenance, and provides an end-to-end intelligent decision-making scheme for intelligent manufacturing. © The Institution of Engineering & Technology 2025.",,,2-s2.0-105040509459,from_scopus_csv
NS0024,2-s2.0-105027221922,Article,Virtual-physical mapping network-driven digital twin for intelligent fault diagnosis with imbalanced samples,2026,Xu Q.; Wen G.; Lei Z.; Ni Q.; Feng K.; Qin R.; Huang J.; Chen X.,Xu Q.,Computers and Industrial Engineering,213,,,10.1016/j.cie.2025.111783,https://www.scopus.com/pages/publications/105027221922?origin=resultslist,Article,Final,Scopus,English,Cited by 1,,10.1016/j.cie.2025.111783,2026 - Virtual-physical mapping network-driven digital twin for intelligent fault diagnosis with imbalanced samples.pdf,,,,,Include,,,,Exclude,L1-E-NOVAL,Title lacks validation/update and production/manufacturing signals.,,,,,,,,,"In advanced manufacturing systems, intelligent fault diagnosis of rolling bearings serves as a pivotal technology for ensuring equipment reliability and improving operational efficiency. Nevertheless, acquiring high-quality monitoring data across multiple fault states in real industrial environments remains a major challenge. This limitation makes achieving high-accuracy diagnosis under imbalanced samples particularly difficult. Digital twin technology provides a promising paradigm to alleviate these constraints. This research introduces a digital twin-based intelligent diagnosis framework under imbalanced samples. First, a nonlinear 6-DOF dynamic model is formulated for digital twin construction, generating high-fidelity simulated vibration responses. Second, a novel attention-assisted operational CycleGAN architecture is developed for cross-domain information exchange between virtual and physical domains. This mapping network integrates a generator constructed using an enhanced feature pyramid network and a discriminator based on the PatchGAN architecture. By leveraging self-organized operational neural network and attention-enhanced skip connections, the network strengthens intra-layer feature extraction and inter-layer feature transmission, thereby facilitating effective information exchange between virtual and physical entities. Finally, experimental validation demonstrates that the Pearson correlation coefficient between the normalized twin and real signal exceeds 0.9. The twin signal enables deployment of diagnostic models, achieving reliable fault diagnosis in data scarcity scenarios. © 2025",,,2-s2.0-105027221922,from_scopus_csv
