new_screening_id,previous_screening_id,match_method,manual_level3_decision,new_title,previous_title,year,doi
NS0001,NS0001,doi,OUT,From insight to action: Embodied multi-agent system integrating vision language model for digital twin-assisted human-robot collaborative assembly,From insight to action: Embodied multi-agent system integrating vision language model for digital twin-assisted human-robot collaborative assembly,2026,10.1016/j.jmsy.2026.02.013
NS0004,NS0005,doi,OUT,Decentralised task planning and motion coordination for scalable multi-robot collaborative manufacturing,Decentralised task planning and motion coordination for scalable multi-robot collaborative manufacturing,2026,10.1016/j.rcim.2026.103255
NS0005,NS0006,doi,OUT,"Digital Twin Models for Space Robotics: Objectives, Applications, and Challenges","Digital Twin Models for Space Robotics: Objectives, Applications, and Challenges",2026,10.1016/j.array.2026.100902
NS0007,NS0008,doi,OUT,Continued use of virtual commissioning models: A novel approach toward digital twins for automated production systems,Continued use of virtual commissioning models: A novel approach toward digital twins for automated production systems,2026,10.1007/s00170-025-17195-y
NS0008,NS0009,doi,OUT,"Smart manufacturing service towards industry 5.0: framework, characteristics and industrial case studies","Smart manufacturing service towards industry 5.0: framework, characteristics and industrial case studies",2026,10.1007/s00170-026-17743-0
NS0009,NS0010,doi,OUT,A planning and execution framework for robotic assembly with deformable objects using a centralized database based on the Rαβγ categorization,A planning and execution framework for robotic assembly with deformable objects using a centralized database based on the Rαβγ categorization,2026,10.1007/s10845-025-02578-5
NS0010,NS0012,doi,OUT,A Digital Twin Architecture for Integrating Lean Manufacturing with Industrial IoT and Predictive Analytics,A Digital Twin Architecture for Integrating Lean Manufacturing with Industrial IoT and Predictive Analytics,2026,10.3390/info17020196
NS0011,NS0013,doi,OUT,Real-time Scheduling Simulation Optimization Method for Smart Production Lines Based on Digital Twin and Reinforcement Learning; [基于数字孪生和强化学习的智能生产线实时调度仿真优化方法],Real-time Scheduling Simulation Optimization Method for Smart Production Lines Based on Digital Twin and Reinforcement Learning; [基于数字孪生和强化学习的智能生产线实时调度仿真优化方法],2026,10.3901/JME.260224
NS0014,NS0016,doi,OUT,Development of a Digital Twin for a Bakery Line With Predictive Analytics and Adaptive Control Functions,Development of a Digital Twin for a Bakery Line With Predictive Analytics and Adaptive Control Functions,2026,10.1049/cim2.70056
NS0017,NS0019,doi,OUT,Digital twin framework for reliable shape correction of imperfect thin-walled shells via robotized ultrasonic multi-needle peening,Digital twin framework for reliable shape correction of imperfect thin-walled shells via robotized ultrasonic multi-needle peening,2026,10.1016/j.tws.2025.114082
NS0029,NS0033,doi,OUT,Future Factories with 6G: Agentic AI and Cyber-Physical Digital Twins,Future Factories with 6G: Agentic AI and Cyber-Physical Digital Twins,2026,10.1109/JIOT.2025.3623075
NS0030,NS0034,doi,OUT,"Sustainable digitalization of manufacturing supply chains: An integrated framework for resilience, efficiency, and circularity","Sustainable digitalization of manufacturing supply chains: An integrated framework for resilience, efficiency, and circularity",2026,10.1016/j.clscn.2026.100325
NS0031,NS0035,doi,OUT,Development of a Digital Twin for Robotic Inspection Using Computer Vision and Machine Learning,Development of a Digital Twin for Robotic Inspection Using Computer Vision and Machine Learning,2026,10.1051/epjconf/202635403005
NS0037,NS0041,doi,OUT,Simulation-guided AI-driven digital twin for plasma etching in semiconductor fabrication,Simulation-guided AI-driven digital twin for plasma etching in semiconductor fabrication,2026,10.1016/j.device.2025.101026
NS0038,NS0042,doi,OUT,Constructed by multiple on-machine inspection: intelligent machining system driven by digital twin,Constructed by multiple on-machine inspection: intelligent machining system driven by digital twin,2026,10.1080/00207543.2026.2651391
NS0040,NS0044,doi,OUT,An efficient data-driven method for the digital twin prediction update synchronization problem,An efficient data-driven method for the digital twin prediction update synchronization problem,2026,10.1080/24725854.2026.2616256
NS0041,NS0045,doi,OUT,Digital Twin-Assisted PVSNs for Next-Generation Automated Solutions: A Technical Survey,Digital Twin-Assisted PVSNs for Next-Generation Automated Solutions: A Technical Survey,2026,10.1007/978-3-032-22908-3_10
NS0042,NS0046,doi,OUT,In-situ monitoring of geometric drift and thermo-mechanical modeling toward a digital twin for thin-wall fused filament fabrication,In-situ monitoring of geometric drift and thermo-mechanical modeling toward a digital twin for thin-wall fused filament fabrication,2026,10.1117/12.3090447
NS0043,NS0047,doi,OUT,"Human-in-the-loop and large language models in smart manufacturing: Current applications, challenges, and perspectives","Human-in-the-loop and large language models in smart manufacturing: Current applications, challenges, and perspectives",2026,10.1016/j.jmsy.2026.04.027
NS0044,NS0049,doi,OUT,Unlocking the potential of ultrasonic consolidation: a critical review of process modelling and simulation frameworks,Unlocking the potential of ultrasonic consolidation: a critical review of process modelling and simulation frameworks,2026,10.1007/s00170-026-18005-9
NS0046,NS0052,doi,OUT,Digital twin-driven dimensional prediction and quality monitoring system for aluminum alloy die forging process,Digital twin-driven dimensional prediction and quality monitoring system for aluminum alloy die forging process,2026,10.1016/j.jmapro.2026.04.051
NS0050,NS0056,doi,OUT,A Digital-Twin-Enabled AI-Driven Adaptive Planning Platform for Sustainable and Reliable Manufacturing,A Digital-Twin-Enabled AI-Driven Adaptive Planning Platform for Sustainable and Reliable Manufacturing,2026,10.3390/machines14020197
NS0052,NS0058,doi,OUT,A Dynamic Digital Twin System with Robotic Vision for Emergency Management,A Dynamic Digital Twin System with Robotic Vision for Emergency Management,2026,10.3390/electronics15030573
