screening_id,record_key,entry_type,title,year,authors,first_author,source_title,volume,issue,pages,doi,scopus_url,document_type,publication_stage,scopus_source,language,citation_note,open_access_note,pdf_search_query,suggested_pdf_filename,pdf_status,pdf_file_path,duplicate_group,duplicate_decision,level_0_decision,level_0_exclusion_criterion,level_0_notes,level_0_language_flag,level_1_title_decision,level_1_exclusion_criterion,level_1_notes,level_2_abstract_decision,level_2_exclusion_criterion,level_2_notes,level_3_fulltext_decision,level_3_exclusion_criterion,level_3_notes,final_decision,included_reason,abstract,author_keywords,index_keywords,abstract_source_key,abstract_source_status
NS0016,2-s2.0-105029694268,Article,Intelligent Health Management of Lithium-Ion Batteries: A Review and Future Perspectives with Digital Twin Technology,2026,Wang M.; Feng S.; Andriukaitis D.; Li Z.; Chauhan S.; Vashishtha G.,Wang M.,Automotive Innovation,,,,10.1007/s42154-025-00385-5,https://www.scopus.com/pages/publications/105029694268?origin=resultslist,Article,Article in press,Scopus,English,Cited by 0,,10.1007/s42154-025-00385-5,2026 - Intelligent Health Management of Lithium-Ion Batteries A Review and Future Perspectives with Digital Twin Technology.pdf,,,,,Include,,,,Uncertain,,"Title suggests a broad DT/production review, but validation/update relevance needs abstract screening.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"This review delves into the latest advancements in smart battery management for lithium-ion batteries (LiBs), which are essential for powering modern technologies and sustainable energy solutions. Smart battery management systems (BMS) are designed to monitor the health of batteries and predict their remaining lifespan. However, accurately gauging battery health and predicting its remaining life remains a challenge due to factors like charging and discharging cycles, chemical reactions, and battery aging. To develop robust and intelligent BMS that can make informed decisions about battery health, addressing the challenges of accurately estimating battery health and predicting its lifespan is critical. This review provides a thorough analysis of current methods used to estimate battery health and predict its remaining lifespan. It also explores the potential of digital twin (DT) technology to enhance smart battery health management. Furthermore, the review proposes a novel digital twin framework for LiBs that combines virtual-real modeling and continuous updating techniques to overcome limitations in existing battery health management methods. This framework offers promising solutions for real-time wireless monitoring and improved battery health management for LiBs. © China Society of Automotive Engineers (China SAE) 2026.",,,2-s2.0-105029694268,from_scopus_csv
NS0023,2-s2.0-105039758041,Article,Real-time Perception and Precision Control Technology for Deep Cavity Structure Assembly Process Based on Multi-sensor Fusion; [多传感融合的深腔体结构装配过程实时感知与精准控制技术],2026,Wei Z.; Wang Z.; Ye X.; Zhang K.; Cheng H.; Guo L.; Liang D.,Wei Z.,Jixie Gongcheng Xuebao/Journal of Mechanical Engineering,62,7,52-66,10.3901/JME.260364,https://www.scopus.com/pages/publications/105039758041?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.3901/JME.260364,2026 - Real-time Perception and Precision Control Technology for Deep Cavity Structure Assembly Process Based on Multi-sensor Fusion; [多传感融合的深腔体结构装配过程实时感知与精准控制技术].pdf,,,,,Include,,,Check non-ASCII title text,Uncertain,,"Title contains a production/manufacturing/industrial signal, but DT validation relevance needs abstract screening.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"To address the low visualization in deep cavity structure assembly, which affects assembly quality, a multi-sensor fusion approach for real-time sensing and precise control is proposed. First, the assembly characteristics of deep cavity structures are analyzed, with geometric features and assembly loads identified as key factors affecting assembly quality. The functional modules and logical relationships of the assembly system are introduced, combining digital twin theory. Next, a sensing study of the assembly process is conducted, utilizing laser and force sensors to effectively capture the geometric and load features of the deep cavity structure. Finally, using assembly feature information as input, virtual assembly and error compensation research is carried out. Through assembly path planning and robot end-effector compliance control, precise regulation of the assembly process is achieved. A sensing and control system is developed based on a digital twin framework. Key technology validation on a specific aircraft's deep cavity structure demonstrates that this method can effectively sense and control multi-stage feature information, providing an effective theoretical framework and technical solution for high-performance assembly. © 2026, Chinese Mechanical Engineering Society. All rights reserved.",,,2-s2.0-105039758041,from_scopus_csv
NS0039,2-s2.0-105024201446,Review,Agricultural digital twin for smart farming: A review,2026,Subeesh A.; Chauhan N.,Subeesh A.,Green Technologies and Sustainability,4,2,,10.1016/j.grets.2025.100299,https://www.scopus.com/pages/publications/105024201446?origin=resultslist,Review,Final,Scopus,English,Cited by 14,All Open Access; Gold Open Access; Green Open Access,10.1016/j.grets.2025.100299,2026 - Agricultural digital twin for smart farming A review.pdf,,,,,Include,,,,Uncertain,,"Title suggests a broad DT/production review, but validation/update relevance needs abstract screening.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"Smart farming has introduced agricultural systems that are increasingly autonomous and highly interconnected. The Agricultural Digital Twin (ADT) is an innovative breakthrough in smart farming that has the potential to greatly improve productivity and sustainability in agricultural systems. Simulation using theoretical and static models has long been a conventional and valuable tool for verifying, validating, and optimizing agricultural tasks. With the emergence of next-generation information and digital technologies, data availability has increased manyfold. Digital twin (DT) modeling is essential for accurately representing the physical entity, and it provides functional services and meets the requirements of modern farms. This study provides a detailed analysis of the key aspects of ADTs, providing deeper insights into the potential application areas in agriculture, and discusses major implementation challenges. This study explores applications of ADT in controlled environment agriculture, soil and irrigation management, crop monitoring and cultivation support, post-harvest activities, livestock monitoring and management, and agricultural machinery. Given that DT technology is relatively nascent in agriculture, this study can provide valuable research direction to stakeholders involved in integrating digital twins into agricultural processes through research and development. © 2025 The Authors.",,,2-s2.0-105024201446,from_scopus_csv
NS0075,2-s2.0-105039302783,Review,The AI revolution in sustainable food processing: From process optimization to a circular bioeconomy,2026,Zaidi A.A.; Jilani A.; Asif M.; Khan A.L.; Khan S.Z.,Zaidi A.A.,Food and Bioproducts Processing,158,,268-287,10.1016/j.fbp.2026.05.013,https://www.scopus.com/pages/publications/105039302783?origin=resultslist,Review,Final,Scopus,English,Cited by 0,,10.1016/j.fbp.2026.05.013,2026 - The AI revolution in sustainable food processing From process optimization to a circular bioeconomy.pdf,,,,,Include,,,,Uncertain,,"Title contains a production/manufacturing/industrial signal, but DT validation relevance needs abstract screening.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"Global food systems continue to experience significant inefficiencies. The Food and Agriculture Organization (FAO) estimates that approximately one-third of food produced for human consumption, equivalent to nearly 1.3 billion tonnes annually, is lost or wasted across the supply chain. In contrast, the United Nations Environment Programme (UNEP) Food Waste Index Report 2024 estimates that 1.05 billion tonnes of food were wasted at the retail, food service, and household levels in 2022. This loss accounts for an estimated 8–10% of global anthropogenic greenhouse gas emissions and reflects persistent limitations in current processing, monitoring, and decision-making frameworks. These challenges indicate the need for new technologies that enhance precision, traceability, and resource efficiency across the food value chain. This review provides a comprehensive, critical assessment of artificial intelligence (AI) as an enabling technology for advancing sustainable food processing. The analysis examines three interconnected domains in which AI demonstrates measurable impact: (i) reduction of Food Loss and Waste (FLW) through predictive modeling, demand forecasting, spoilage detection, and optimized logistics; (ii) development of circular bioeconomy pathways by identifying, characterizing, and valorizing food-processing byproducts for applications such as biopolymers, nutraceuticals, and energy carriers; and (iii) improvement of processing efficiency via intelligent control of energy-intensive unit operations, water management systems, and predictive maintenance of equipment. The review further evaluates the integration of AI with complementary digital technologies, including the Internet of Things (IoT), digital twins, robotics, and blockchain, to establish fully optimized, data-driven processing environments. Remaining technical, operational, and regulatory barriers to large-scale adoption are identified, with emphasis on data quality, model generalizability, infrastructure requirements, and governance frameworks. The findings indicate that AI is expected to play a central role in enabling high-efficiency, low-waste, climate-aligned food-processing systems that align with global sustainability targets. © 2026 Institution of Chemical Engineers. Published by Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",,,2-s2.0-105039302783,from_scopus_csv
NS0091,2-s2.0-105021122751,Review,Advances in the Application of Machine Vision in Steelmaking Processes,2026,Wang X.; He F.; Xu C.; Wu T.; Zhuang X.; Zhang R.; Xie W.; Liu Y.; Li H.,Wang X.,Steel Research International,97,4,1813-1830,10.1002/srin.202500769,https://www.scopus.com/pages/publications/105021122751?origin=resultslist,Review,Final,Scopus,English,Cited by 0,,10.1002/srin.202500769,2026 - Advances in the Application of Machine Vision in Steelmaking Processes.pdf,,,,,Include,,,,Uncertain,,"Title contains a production/manufacturing/industrial signal, but DT validation relevance needs abstract screening.",Exclude,L2-E-TOOGENERAL,Abstract is a general DT architecture/framework/review without concrete validation/update insight.,,,,,,"To enhance steelmaking efficiency, guarantee product quality, and ensure process stability, the global steel industry is rapidly advancing toward intelligent transformation. As a key component of artificial intelligence, machine vision technology is being increasingly integrated into all stages of the steelmaking process. This article systematically reviews advancements in hardware architecture and the evolution of algorithmic models from traditional image processing and machine learning to deep learning in machine vision technology. Subsequently, it summarizes the current applications of this technology across the hot metal pretreatment, converter steelmaking, secondary refining, continuous casting, and others. Finally, this review consolidates the core advantages of machine vision in steelmaking: optimizing smelting processes, enabling precise prediction of abnormal operating conditions, facilitating accurate product classification/grading, and enhancing automation by reducing manual intervention. Future development trajectories are summarized as follows: focus on transitioning from isolated applications to systematic integration, ensuring input data quality and reliability, enhancing model interpretability, and integrating machine vision with digital twin technology. © 2025 Wiley-VCH GmbH.",,,2-s2.0-105021122751,from_scopus_csv
NS0094,2-s2.0-105033535353,Article,Digital twins in Chinese startups: Enhancing precision and efficiency in the entrepreneurial process,2026,Fodouop Kouam A.W.,Fodouop Kouam A.W.,Technology in Society,86,,,10.1016/j.techsoc.2026.103307,https://www.scopus.com/pages/publications/105033535353?origin=resultslist,Article,Final,Scopus,English,Cited by 0,,10.1016/j.techsoc.2026.103307,2026 - Digital twins in Chinese startups Enhancing precision and efficiency in the entrepreneurial process.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"Digital Twin technologies (DTT)—virtual replicas of physical systems continuously updated through real-time data—are increasingly integrated into entrepreneurial activities. Nevertheless, their application in startups, especially in China, remains underexplored. This study analyzes DTT's capacity for precision and efficiency in entrepreneurial processes, drawing on mixed-methods data from 15 Chinese startups. We employed semi-structured interviews with founders and managers, alongside panel regression analysis of firm-level performance indicators (2020-2024). Results show that DTT enhances product iteration speed, reduces operational uncertainty, and improves decision-making accuracy. Whereas established firms primarily use DTT for operational optimization, startups in our sample deploy DTT as a strategic tool for experimentation, rapid learning, and risk mitigation. Theoretically, this study contributes to entrepreneurship scholarship by examining DTT through the lens of the resource-based view and dynamic capabilities, and by showing how a virtual-physical dyad reshapes the growth paths of early-stage firms. From a practical standpoint, these findings provide valuable insights for entrepreneurs and policymakers seeking to overcome bottlenecks to scaling through a digital infrastructure. This research is situated within the framework of China's digital economy strategy. It adds to the understanding of digital twin technologies and their societal and economic impacts in emerging entrepreneurial ecosystems. These findings highlight the strategic role of DTT in shaping innovation trajectories within emerging entrepreneurial ecosystems. © 2026 Elsevier Ltd.",,,2-s2.0-105033535353,from_scopus_csv
NS0133,2-s2.0-105035090178,Article,Digital Twins for Sustainable and Low-Carbon Supply Chains in Industry X.0: Crossing the Fragmented Bridge Between Academic Research and Industrial Adoption,2026,Elghomri B.; Messaoudi F.,Elghomri B.,Operations and Supply Chain Management,19,1,13-29,10.31387/OSCM0640505,https://www.scopus.com/pages/publications/105035090178?origin=resultslist,Article,Final,Scopus,English,Cited by 0,All Open Access; Gold Open Access,10.31387/OSCM0640505,2026 - Digital Twins for Sustainable and Low-Carbon Supply Chains in Industry X.0 Crossing the Fragmented Bridge Between Academic Research and Industrial Adoption.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"Digital twins (DTs) offer transformative potential for shaping low-carbon, resilient, and circular supply chains by providing real-time virtual monitoring and decision-support capabilities. However, despite growing theoretical interest in technology-driven frameworks, translations into scalable, standards-aligned industrial implementations remain limited. To address this gap, we conducted a comprehensive bibliometric and thematic analysis of 229 DT-related research articles published between late 2019 and mid-2025, focusing on sustainability outcomes. The dataset was systematically compiled from three major academic databases, Scopus, ScienceDirect, and Web of Science, which ensured both consistency and robustness of the review. We mapped trends across research themes, geographies, and journal outlets and identified key clusters spanning AI-powered optimization, circular-economy frameworks, and built-environment lifecycle modeling. Our findings reveal that, although nearly 40% of studies are conceptual, only one-third present practical deployment and fewer than 30% adopt a mixed approach. Critically, interoperability standards (for example, ISO 23247 and OPC UA) and lifecycle metrics (Scope 3 emissions, LCA, Digital Product Passports) are seldom fully integrated within empirical work. This fragmentation underscores a bridge in progress between academic innovation and industrial practice. We conclude by highlighting opportunities to accelerate adoption, namely, designing DTs that are empirically validated, multi-objective, and grounded in stakeholder ecosystems, which would enable DTs to evolve from theoretical promise to operational tools for sustainable supply network transformation. © (2026), (Operations and Supply Chain Management Forum). All rights reserved.",,,2-s2.0-105035090178,from_scopus_csv
NS0134,2-s2.0-105035856630,Article,Temporal modeling for domain-invariant fault diagnosis in robotics digital twin systems,2026,Kumar P.,Kumar P.,Intelligent Service Robotics,19,3,,10.1007/s11370-025-00684-0,https://www.scopus.com/pages/publications/105035856630?origin=resultslist,Article,Final,Scopus,English,Cited by 0,All Open Access; Green Open Access,10.1007/s11370-025-00684-0,2026 - Temporal modeling for domain-invariant fault diagnosis in robotics digital twin systems.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"Fault diagnosis in robotics frequently encounters obstacles due to the scarcity of labeled real-world data and the disparities between simulated and physical systems. Digital twin technology mitigates data limitations by producing simulated datasets; however, the sim-to-real gap remains a barrier to effective model generalization. This study introduces the TemporalTwinNet (TTN) framework, a novel approach designed for digital twin-supported fault diagnosis in robotics. By embedding bidirectional Long Short-Term Memory (LSTM) layers into the feature extraction process, the TTN framework adeptly captures temporal dependencies within time-series data, enhancing the alignment of simulated and real-world trajectories. Tested on an open-source robotics dataset comprising 3600 simulated and 90 real samples, the proposed TTN achieves a real-world test precision of 86.67%, significantly narrowing the sim-to-real gap to 9.44%. Notably, the model elevates F1 scores for difficult categories, such as the healthy state (improving from 0.06 to 0.63), while sustaining strong simulation performance with a precision of 96.11%. Additionally, the framework integrates severity prediction, boosting its practical utility. These outcomes underscore the efficacy of temporal modeling in overcoming the sim-to-real divide, presenting a resilient solution for predictive maintenance in robotics. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2026.",,,2-s2.0-105035856630,from_scopus_csv
NS0141,2-s2.0-105028643427,Conference paper,AI-Driven Digital Twin for Enhanced Suspension Assembly Testing in Automotive Vehicles,2026,Sonavane P.; Patil A.,Sonavane P.,SAE Technical Papers,,,,10.4271/2026-26-0445,https://www.scopus.com/pages/publications/105028643427?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,,10.4271/2026-26-0445,2026 - AI-Driven Digital Twin for Enhanced Suspension Assembly Testing in Automotive Vehicles.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"This paper presents the development and implementation of a digital twin (DT) for the suspension assembly of automotive vehicles - an essential subsystem for assessing vehicle performance, durability, ride comfort, and safety. The digital twin, a high-fidelity virtual replica of the physical suspension system, is constructed using advanced simulation methodologies, including Finite Element Analysis (FEA), and enriched through continuous integration of empirical test data. Leveraging machine learning techniques, particularly Artificial Neural Networks (ANNs), the DT evolves into a dynamic and predictive model capable of accurately simulating the behaviour of the physical system under diverse operational conditions. The primary aim of this study is to enhance the precision and efficiency of suspension testing by enabling predictive maintenance, real-time system monitoring, and intelligent optimization of test parameters. The digital twin facilitates early detection of potential failures, thereby minimizing downtime and reducing maintenance costs. Furthermore, it enables the exploration of a wide range of test scenarios without the need for extensive physical prototyping, resulting in significant savings in time and resources. Experimental results validate the digital twin's capability to replicate the physical suspension assembly with high accuracy, offering actionable insights into system reliability and performance. This study underscores the transformative potential of AI-augmented digital twin technology in modernizing traditional testing frameworks, providing a scalable and cost-effective solution for the design, validation, and lifecycle management of automotive components.  © 2026 SAE International. All Rights Reserved.",,,2-s2.0-105028643427,from_scopus_csv
NS0161,2-s2.0-105041084773,Conference paper,A Pre-Implementation Framework for Assessing Industrial Digital Twin Readiness: Bridging Capability Gaps and Advancing Digital Twin Theory,2026,Yilmaz A.; O’Brien S.; Thies P.R.; Das P.; Race J.,Yilmaz A.,IET Conference Proceedings,2026,1,141-146,10.1049/icp.2026.0509,https://www.scopus.com/pages/publications/105041084773?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 0,All Open Access; Green Open Access,10.1049/icp.2026.0509,2026 - A Pre-Implementation Framework for Assessing Industrial Digital Twin Readiness Bridging Capability Gaps and Advancing Digital Twin Theory.pdf,,,,,Include,,,,Uncertain,,"Title contains DT and production/manufacturing signals, but validation/update is not explicit in the title.",Exclude,L2-E-NOPROD,Abstract is outside production/manufacturing and lacks a strong transferable validation/update method.,,,,,,"As industrial sectors increasingly explore Digital Twin (DT) applications for energy, process engineering, and smart infrastructure, a critical question emerges early: Are organisations suitably prepared to implement a DT? This work introduces a multi-dimensional Digital Twin Readiness Framework tailored for pre-implementation project evaluation. It synthesises findings from academic literature, organisational change theory and industrial insights to highlight key factors that contribute to DT readiness. The framework is structured across four dimensions: i) Technical, ii) Organisational, iii) People & Cultural, and iv) Adaptability & Lifecycle Readiness. Each dimension comprises self-assessable factors – ranging from data interoperability and platform selection to stakeholder alignment. Collectively, it aims to provide a holistic view of DT preparedness, supporting resource allocation in digital twin facing projects. Unlike post-deployment maturity models, this structured framework is designed for early-stage decision-making, categorising each factor at a stage ranging from no awareness to full preparedness. It can be used to highlight any gaps and latent risks such as unclear integration pathways or limited digital skills before significant investment, minimising adoption risk by prioritising capability building efforts and aligning stakeholders around realistic and attainable DT objectives. It aims to bridge the gap between conceptual ambitions and operational deployment of digital twins. © The Institution of Engineering & Technology 2026.",,,2-s2.0-105041084773,from_scopus_csv
