level4_full_text_decision;has_local_pdf;title;first_author;year;level3_manual_decision;previous_object_classification;zotero_item_key;pdf_attachment_key;pdf_path;note
INCLUDE_FULL_TEXT;TRUE;A State-Synchronized Digital Twin-Driven Framework for Adaptive Optimization of Fourth-Party Logistics Networks in Off-Site Construction;Karimi B.;2026;IN;other or general;NBQPFIKC;MICB3NWZ;/Users/bohanleng/Zotero/storage/MICB3NWZ/B et al. - 2026 - A State-Synchronized Digital Twin-Driven Framework for Adaptive Optimization of Fourth-Party Logisti.pdf;
EXCLUDE_NO_FULL_TEXT;FALSE;A Framework for Credible Self-evolution of Equipment Digital Twins;Cheng H.;2026;IN;other or general;HGJZ7VR3;;;No local PDF attachment found in Zotero storage during Level 4 full-text check
EXCLUDE_NO_FULL_TEXT;FALSE;Design and evaluation of an artificial intelligence-based digital twin for industrial manufacturing optimization;Rozyyev A.;2026;IN;production system object;VRVSF6JR;;;No local PDF attachment found in Zotero storage during Level 4 full-text check
INCLUDE_FULL_TEXT;TRUE;Experiment-based calibration of a digital twin for composite panel testing using standard signals;Bogenfeld R.;2026;IN;other or general;U6EKVFH5;VNXJUH7T;/Users/bohanleng/Zotero/storage/VNXJUH7T/R et al. - 2026 - Experiment-based calibration of a digital twin for composite panel testing using standard signals.pdf;
INCLUDE_FULL_TEXT;TRUE;Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin;Wood N.;2026;IN;other or general;9YKYESAG;4YC7PG9Q;/Users/bohanleng/Zotero/storage/4YC7PG9Q/N et al. - 2026 - Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin.pdf;
INCLUDE_FULL_TEXT;TRUE;Specifying Digital Twin Synchronization in Manufacturing Systems Using Stochastic and Timed Automata;Derigent W.;2026;IN;production system object;8P7C7Q4V;HKDHS6X6;/Users/bohanleng/Zotero/storage/HKDHS6X6/W and P - 2026 - Specifying Digital Twin Synchronization in Manufacturing Systems Using Stochastic and Timed Automata.pdf;
INCLUDE_FULL_TEXT;TRUE;YZ1.0-MOM: An Integrated Intelligent Management System for Smart Textile Factories Based on Digital Twin and Deep Learning;Su Z.;2026;IN;production system object;9N7R3C34;GLG8X3ZC;/Users/bohanleng/Zotero/storage/GLG8X3ZC/Z et al. - 2026 - YZ1.0-MOM An Integrated Intelligent Management System for Smart Textile Factories Based on Digital.pdf;
INCLUDE_FULL_TEXT;TRUE;Behavioral trust management in Digital Twin systems using safe state analysis and virtual validation;Azzedin F.;2026;IN;other or general;92SEPHYX;D3649K3D;/Users/bohanleng/Zotero/storage/D3649K3D/F et al. - 2026 - Behavioral trust management in Digital Twin systems using safe state analysis and virtual validation.pdf;
EXCLUDE_NO_FULL_TEXT;FALSE;Verification and Validation of the Numerical and Reduced Models of Roller Bearings;Borim A.L.;2026;IN;other or general;9BGW6K4W;;;No local PDF attachment found in Zotero storage during Level 4 full-text check
INCLUDE_FULL_TEXT;TRUE;Smart Manufacturing Innovation Through the Integration of Digital Twin and IoT Energy Management;Kwon Y.;2025;IN;other or general;MQYLB3MF;GZSVN3GF;/Users/bohanleng/Zotero/storage/GZSVN3GF/Y - 2025 - Smart Manufacturing Innovation Through the Integration of Digital Twin and IoT Energy Management.pdf;
INCLUDE_FULL_TEXT;TRUE;Automatic Calibration and Update of a Digital Twin for Plug & Produce;Bennulf M.;2025;IN;production system object;KSAEGSFX;I7SEJXVY;/Users/bohanleng/Zotero/storage/I7SEJXVY/M et al. - 2025 - Automatic Calibration and Update of a Digital Twin for Plug & Produce.pdf;
INCLUDE_FULL_TEXT;TRUE;Towards accurate digital twins: A review of calibration methods using event-based and neuromorphic vision;Kombaya Touckia J.V.;2026;IN;other or general;VERZLBGP;BAJ5T5KV;/Users/bohanleng/Zotero/storage/BAJ5T5KV/J.V and S - 2026 - Towards accurate digital twins A review of calibration methods using event-based and neuromorphic v.pdf;
INCLUDE_FULL_TEXT;TRUE;A multi-level multi-domain digital twin modeling method for industrial robots;Yang K.;2025;IN;other or general;4H25KX2Q;IYFNUJPN;/Users/bohanleng/Zotero/storage/IYFNUJPN/K et al. - 2025 - A multi-level multi-domain digital twin modeling method for industrial robots.pdf;
INCLUDE_FULL_TEXT;TRUE;A Credibility-Based Self-Evolution Algorithm for Equipment Digital Twins Based on Multi-Layer Deep Koopman Operator;Cheng H.;2025;IN;other or general;2QI22GQW;RBRZDHEV;/Users/bohanleng/Zotero/storage/RBRZDHEV/H et al. - 2025 - A Credibility-Based Self-Evolution Algorithm for Equipment Digital Twins Based on Multi-Layer Deep K.pdf;
INCLUDE_FULL_TEXT;TRUE;Digital twin technique for automatic damage detection of historical buildings with an adaptive model updating approach;Zhang C.;2025;IN;other or general;9C7WH5PJ;B2XAZCQ6;/Users/bohanleng/Zotero/storage/B2XAZCQ6/C et al. - 2025 - Digital twin technique for automatic damage detection of historical buildings with an adaptive model.pdf;
INCLUDE_FULL_TEXT;TRUE;Preserving Dependencies in Partitioned Digital Twin Models for Enabling Modular Validation;Zare A.;2025;IN;other or general;YRV28NI5;P9X8V4PU;/Users/bohanleng/Zotero/storage/P9X8V4PU/A and S - 2025 - Preserving Dependencies in Partitioned Digital Twin Models for Enabling Modular Validation.pdf;
INCLUDE_FULL_TEXT;TRUE;Development and Validation of Digital Twin Behavioural Model for Virtual Commissioning of Cyber-Physical System;Ruzarovsky R.;2025;IN;production system object;J8YFZMWX;MDYBJCAF;/Users/bohanleng/Zotero/storage/MDYBJCAF/R et al. - 2025 - Development and Validation of Digital Twin Behavioural Model for Virtual Commissioning of Cyber-Phys.pdf;
INCLUDE_FULL_TEXT;TRUE;Accurate EDM Calibration of a Digital Twin for a Seven-Axis Robotic EDM System and 3D Offline Cutting Path †;de Almeida S.T.;2025;IN;other or general;72ZNHKL3;ZKTELL9F;/Users/bohanleng/Zotero/storage/ZKTELL9F/S.T et al. - 2025 - Accurate EDM Calibration of a Digital Twin for a Seven-Axis Robotic EDM System and 3D Offline Cuttin.pdf;
INCLUDE_FULL_TEXT;TRUE;Prediction of bearing remaining useful life based on a two-stage updated digital twin;He D.;2025;IN;other or general;C2NBWE34;E38Y425C;/Users/bohanleng/Zotero/storage/E38Y425C/D et al. - 2025 - Prediction of bearing remaining useful life based on a two-stage updated digital twin.pdf;
INCLUDE_FULL_TEXT;TRUE;Multi-stage calibration framework for a digital twin model in building operations: Cold chain logistics centers case study;Lin R.;2025;IN;other or general;BR5TFYG4;L4TISIC6;/Users/bohanleng/Zotero/storage/L4TISIC6/R et al. - 2025 - Multi-stage calibration framework for a digital twin model in building operations Cold chain logist.pdf;
INCLUDE_FULL_TEXT;TRUE;Research on full lifecycle health management of permanent magnet synchronous electric drum driven by digital twin with dynamic update;Chen W.;2025;IN;other or general;K78KYQZY;6DLA7V9R;/Users/bohanleng/Zotero/storage/6DLA7V9R/W et al. - 2025 - Research on full lifecycle health management of permanent magnet synchronous electric drum driven by.pdf;
INCLUDE_FULL_TEXT;TRUE;Real-Time Data Acquisition and Digital Twin Model Synchronization Technology of Wind-Solar Electrolysis Hydrogen Production System Based on Internet of Things;Fang H.;2025;IN;other or general;YGV7IVGL;BFUQ6S66;/Users/bohanleng/Zotero/storage/BFUQ6S66/H et al. - 2025 - Real-Time Data Acquisition and Digital Twin Model Synchronization Technology of Wind-Solar Electroly.pdf;
